course_name,institution,course_id,num_reviews,avg_rating
Programming for Everybody (Getting Started with Python),University of Michigan,python,3721,4.21
Machine Learning,Stanford University,machine-learning,3448,4.37
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,learning-how-to-learn,3040,4.47
The Data Scientist’s Toolbox,Johns Hopkins University,data-scientists-tools,2912,4.16
Introduction to Data Science in Python,University of Michigan,python-data-analysis,2611,3.91
Python Data Structures,University of Michigan,python-data,2610,4.58
R Programming,Johns Hopkins University,r-programming,2552,3.98
Using Python to Access Web Data,University of Michigan,python-network-data,2541,4.43
Neural Networks and Deep Learning,DeepLearning.AI,neural-networks-deep-learning,2345,4.31
Stanford Introduction to Food and Health,Stanford University,food-and-health,2148,4.41
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,gcp-fundamentals,2068,4.36
Technical Support Fundamentals,Google,technical-support-fundamentals,1977,4.18
Grammar and Punctuation,"University of California, Irvine",grammar-punctuation,1880,4.53
What is Data Science?,IBM,what-is-datascience,1863,3.97
Structuring Machine Learning Projects,DeepLearning.AI,machine-learning-projects,1832,4.38
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,deep-neural-network,1832,4.5
Machine Learning Foundations: A Case Study Approach,University of Washington,ml-foundations,1793,4.31
The Bits and Bytes of Computer Networking,Google,computer-networking,1677,4.18
Tools for Data Science,IBM,open-source-tools-for-data-science,1669,3.7
Using Databases with Python,University of Michigan,python-databases,1658,4.55
Marketing in a Digital World,University of Illinois at Urbana-Champaign,marketing-digital,1626,4.47
Initiating and Planning Projects,"University of California, Irvine",project-planning,1546,4.53
Customer Analytics,University of Pennsylvania,wharton-customer-analytics,1530,4.35
First Step Korean,Yonsei University,learn-korean,1510,4.64
Python for Data Science and AI,IBM,python-for-applied-data-science-ai,1485,3.92
Fundamentals of Graphic Design,California Institute of the Arts,fundamentals-of-graphic-design,1449,4.62
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,intro-data-science-programacion-estadistica-r,1434,4.6
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,html-css-javascript-for-web-developers,1430,4.55
"Programming Foundations with JavaScript, HTML and CSS",Duke University,duke-programming-web,1430,4.34
Finanzas personales,Universidad Nacional Autónoma de México,finanzas-personales,1427,4.68
Teach English Now! Foundational Principles,Arizona State University,english-principles,1405,4.84
Chinese for Beginners,Peking University,learn-chinese,1395,4.58
Sequence Models,DeepLearning.AI,nlp-sequence-models,1395,4.37
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,gcp-big-data-ml-fundamentals,1364,4.39
Successful Negotiation: Essential Strategies and Skills,University of Michigan,negotiation-skills,1360,4.65
Introduction to Big Data,University of California San Diego,big-data-introduction,1354,4.42
